RekNr,Datum,Symbool,ISIN,Type optie,Expiratie,Strike,Valuta,Slotkoers,Aantal,Valutakoers,Contractgrootte,Waarde EUR,Waarde Orig Valuta,Aankoopwaarde,Type instrument,Binckcode,Titel instrument,
5,2020-01-20,VFEM NA,IE00B3VVMM84,,31-12-1899,0,EUR,"56,48",1194,1,1,"67437,12","67437,12","59.057,50",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-01-20,VUSA NA,IE00B3XXRP09,,31-12-1899,0,EUR,"56,964",1224,1,1,"69723,94","69723,94","47.449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-01-20,USD,,,31-12-1899,0,USD,0,"4,61","1,109605",0,"4,15","4,61",0,,0,,0
5,2020-01-20,EUR,,,31-12-1899,0,EUR,0,"59304,44",1,0,"59304,44","59304,44",0,,1234,,0
5,2020-01-21,AEX,,PUT,20-03-2020,520,EUR,"0,38",3,1,100,114,114,"2.325,00",Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-01-21,AEX,,PUT,19-06-2020,540,EUR,"4,31",3,1,100,1293,1293,"1.905,00",Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-01-21,TDT,NL0009272749,,31-12-1899,0,EUR,"61,12",3231,1,1,"197478,72","197478,72","185.082,30",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-01-21,VEUR NA,IE00B945VV12,,31-12-1899,0,EUR,"33,169",2026,1,1,"67200,39","67200,39","58.899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-01-21,VFEM NA,IE00B3VVMM84,,31-12-1899,0,EUR,"55,61",1194,1,1,"66398,34","66398,34","59.057,50",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-01-21,VUSA NA,IE00B3XXRP09,,31-12-1899,0,EUR,"56,927",1224,1,1,"69678,65","69678,65","47.449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-01-21,USD,,,31-12-1899,0,USD,0,"4,61","1,10856",0,"4,16","4,61",0,,0,,0
5,2020-01-21,EUR,,,31-12-1899,0,EUR,0,"59304,44",1,0,"59304,44","59304,44",0,,1234,,0
5,2020-01-22,AEX,,PUT,20-03-2020,520,EUR,"0,38",3,1,100,114,114,"2.325,00",Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-01-22,AEX,,PUT,19-06-2020,540,EUR,"4,35",3,1,100,1305,1305,"1.905,00",Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-01-22,TDT,NL0009272749,,31-12-1899,0,EUR,"61,08",3231,1,1,"197349,48","197349,48","185.082,30",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-01-22,VEUR NA,IE00B945VV12,,31-12-1899,0,EUR,"33,095",2026,1,1,"67050,47","67050,47","58.899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-01-22,VFEM NA,IE00B3VVMM84,,31-12-1899,0,EUR,"55,77",1194,1,1,"66589,38","66589,38","59.057,50",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-01-22,VUSA NA,IE00B3XXRP09,,31-12-1899,0,EUR,"57,046",1224,1,1,"69824,3","69824,3","47.449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-01-22,USD,,,31-12-1899,0,USD,0,"4,61","1,10917",0,"4,16","4,61",0,,0,,0
5,2020-01-22,EUR,,,31-12-1899,0,EUR,0,"59304,44",1,0,"59304,44","59304,44",0,,1234,,0
5,2020-01-23,AEX,,PUT,20-03-2020,520,EUR,"0,5",3,1,100,150,150,"2.325,00",Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-01-23,AEX,,PUT,19-06-2020,540,EUR,"5,16",3,1,100,1548,1548,"1.905,00",Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-01-23,TDT,NL0009272749,,31-12-1899,0,EUR,"60,53",3231,1,1,"195572,43","195572,43","185.082,30",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-01-23,VEUR NA,IE00B945VV12,,31-12-1899,0,EUR,"32,84",2026,1,1,"66533,84","66533,84","58.899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-01-23,VFEM NA,IE00B3VVMM84,,31-12-1899,0,EUR,"54,97",1194,1,1,"65634,18","65634,18","59.057,50",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-01-23,VUSA NA,IE00B3XXRP09,,31-12-1899,0,EUR,"56,878",1224,1,1,"69618,67","69618,67","47.449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-01-23,USD,,,31-12-1899,0,USD,0,"4,61","1,10576",0,"4,17","4,61",0,,0,,0
5,2020-01-23,EUR,,,31-12-1899,0,EUR,0,"59304,44",1,0,"59304,44","59304,44",0,,1234,,0
5,2020-01-24,AEX,,PUT,20-03-2020,520,EUR,"0,3",3,1,100,90,90,"2.325,00",Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-01-24,AEX,,PUT,19-06-2020,540,EUR,"4,05",3,1,100,1215,1215,"1.905,00",Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-01-24,TDT,NL0009272749,,31-12-1899,0,EUR,"61,37",3231,1,1,"198286,47","198286,47","185.082,30",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-01-24,VEUR NA,IE00B945VV12,,31-12-1899,0,EUR,"33,18",2026,1,1,"67222,68","67222,68","58.899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
